Pressure,Temperature,Riser Steam Rate,Catalyst Type,Catalyst Age,Catalyst-to-oil Ratio,CrudeDensity,Sulfur Content,Nitrogen Content,Conradson Carbon Residue Content
1.6329780834721672,525.8451716383512,3.0500995690206465,1.0,0.0,7.331599536780053,0.92,0.3,0.15,3.5
1.5443108967798083,524.387107452305,3.18799851307604,1.0,0.041666666666666664,8.096943288523807,0.92,0.3,0.15,3.5
1.6448024256022098,524.9098471558419,2.9776334709318633,1.0,0.08333333333333333,7.4202818811387035,0.92,0.3,0.15,3.5
1.6416135966154268,526.404488395638,2.928719720165683,1.0,0.125,7.339318021498339,0.92,0.3,0.15,3.5
1.6430736171558018,525.826213558101,2.8465284984069092,1.0,0.16666666666666666,7.175774827943246,0.92,0.3,0.15,3.5
1.4989018828785645,525.4119198511311,3.092540696873497,1.0,0.20833333333333334,7.781489062278778,0.92,0.3,0.15,3.5
1.6314921142345056,523.363482483727,2.987881137175535,1.0,0.25,7.6096277459113235,0.92,0.3,0.15,3.5
1.5932918214526077,527.1795557994525,3.0309601258211525,1.0,0.2916666666666667,7.458170011767785,0.92,0.3,0.15,3.5
1.5743041423544062,527.8928329937763,3.0494743294238402,1.0,0.3333333333333333,7.383248598579868,0.92,0.3,0.15,3.5
1.666871315292327,524.6565542205225,3.101943485357116,1.0,0.375,7.377105448094275,0.92,0.3,0.15,3.5
1.5521040491036884,525.9652671617422,2.9436696898996426,1.0,0.4166666666666667,7.46685822906899,0.92,0.3,0.15,3.5
1.5828069937921594,524.6723781027589,2.9737202486568344,1.0,0.4583333333333333,7.466719236757614,0.92,0.3,0.15,3.5
1.541267331074194,524.0347315916645,2.871703210528215,1.0,0.5,7.55033060258725,0.92,0.3,0.15,3.5
1.5873717147044264,526.8007774682495,2.8454358151714287,1.0,0.5416666666666666,7.227828231796366,0.92,0.3,0.15,3.5
1.6213861588532894,524.9821564516458,3.0890452661025773,1.0,0.5833333333333334,7.3372996818487835,0.92,0.3,0.15,3.5
1.616486546697483,524.1448122460499,3.036303915121404,1.0,0.625,7.310607081679444,0.92,0.3,0.15,3.5
1.5721125874088675,523.8111290896791,3.093454266822286,1.0,0.6666666666666666,7.489784239253799,0.92,0.3,0.15,3.5
1.5131960920849008,526.489553572207,2.9732369411604123,1.0,0.7083333333333334,7.623713825745399,0.92,0.3,0.15,3.5
1.532072874853749,523.0822713171178,3.1131238531454386,1.0,0.75,7.385392250945461,0.92,0.3,0.15,3.5
1.6453588277362128,525.5684707992527,2.9646033417489863,1.0,0.7916666666666666,7.502251738346935,0.92,0.3,0.15,3.5
1.564084006428015,525.7833566669955,2.909094552267735,1.0,0.8333333333333334,7.529794755889914,0.92,0.3,0.15,3.5
1.5265301057331928,525.9844822055603,3.072352878750999,1.0,0.875,7.303089581261743,0.92,0.3,0.15,3.5
1.644173964961368,524.0431812649255,2.940867796759956,1.0,0.9166666666666666,7.488704704585529,0.92,0.3,0.15,3.5
1.5820732701195412,526.0856612043821,3.0093253658213714,1.0,0.9583333333333334,7.39613355621625,0.92,0.3,0.15,3.5
1.6116749511571193,527.9964568404228,2.970515246892797,1.0,1.0,7.7603503801491005,0.92,0.3,0.15,3.5
1.6679439692478548,525.3903863663156,3.083463350842145,1.0,1.0416666666666667,7.648272385167889,0.92,0.3,0.15,3.5
1.5884428851132286,525.3604497268989,3.033630406028738,1.0,1.0833333333333333,7.345552071691239,0.92,0.3,0.15,3.5
1.5290332612434567,527.363671945869,2.9741732787079225,1.0,1.125,7.408925779968827,0.92,0.3,0.15,3.5
1.6642340478831037,524.9068315913572,3.0486917718776514,1.0,1.1666666666666667,7.1302261111587555,0.92,0.3,0.15,3.5
1.66768729398458,527.7759594183572,3.1649459289665085,1.0,1.2083333333333333,7.489654758692581,0.92,0.3,0.15,3.5
1.5397156631861064,523.5885725879905,2.9275999043809215,1.0,1.25,7.487397597990728,0.92,0.3,0.15,3.5
1.5975532586262946,526.2372133453506,3.1426972523668053,1.0,1.2916666666666667,7.642488407854996,0.92,0.3,0.15,3.5
1.6341898908197574,528.6684040617093,3.2476796058846706,1.0,1.3333333333333333,7.176273724026384,0.92,0.3,0.15,3.5
1.6801481218546268,527.0365547885101,3.1639415981036976,1.0,1.375,7.335371742494487,0.92,0.3,0.15,3.5
1.6954032758809576,524.459489470987,3.030847310619827,1.0,1.4166666666666667,7.41288403001378,0.92,0.3,0.15,3.5
