Petrol,Diesel,Coke,LPG,Bitumen,Waste
55.02357356844354,19.593668636705647,6.320662639554524,18.45853639325722,2.8459810204280602,4.550014599692764
53.1088465550554,20.029792545911768,5.8941149739671745,17.23993731665801,3.1872665692885724,4.440626628381364
55.424494822282,19.86233017305486,6.263294184033141,18.860468410542065,2.808610040211089,4.660196496767342
55.290186834144755,19.657258318246512,6.559621581915106,18.2513717552915,2.8228359035852537,4.463165874034112
55.02090226587507,18.923108566104087,6.27325979830034,18.259377939394206,2.641068623670128,4.548574876356255
53.75135520516463,20.325218101701136,6.299628520166892,17.150959490522016,3.300227487534089,4.405187115060021
54.93814295908857,19.46298312277105,6.131138126876466,18.18650995080828,2.9766338304177555,4.562933049175041
55.808267487056916,19.69756320533125,5.875486377689825,18.263688045710335,2.746614910690996,4.506072037216474
56.54880735117856,18.92410171296109,6.76733010515924,18.903119749931008,2.699172027883318,4.543891025522516
55.583912228221216,18.976575956436346,6.579454999526103,18.93523857050002,2.626173850829784,4.569613203798502
54.53232406896097,19.386486173394246,6.055155911081721,18.363813853618854,2.898868822667273,4.378000267798912
54.49535096913717,20.279629437290005,6.2498873991315715,18.12450007726955,2.767930332015018,4.460615669862694
54.61240799836581,20.229707349373058,5.937045682008229,17.73955612121174,3.0705425484249202,4.410582738430513
55.05567165999416,19.122679141165747,6.248888421054217,18.401216103346613,2.6547893090378096,4.552703119871594
54.573468523860754,19.93837603550151,6.072188005761399,18.242358810367556,3.0233016372483164,4.583981645000483
54.70594332705317,19.76469965410956,6.115152547588731,18.12496578362795,3.1004600982392216,4.37142543484385
53.40437418804952,20.662504455831407,5.953665076473481,17.43805646938825,2.8680419417187295,4.325170971312434
54.397405443374495,19.970474199790402,6.290860589135975,17.597433812718666,3.0661121487011798,4.557398859827172
55.23746787560285,19.694312070209612,6.2796023141707655,18.437643241590635,2.7435784717957565,4.577139049024778
54.60978884774184,20.58760149833237,6.0783076269754845,17.9355371419516,2.8894251696374416,4.406955090306524
55.19354447160991,19.69450817046421,6.375555243588977,18.85077331745602,2.5582778471629863,4.626732533167817
54.417121721559326,20.115673673359684,6.029131538866131,17.7939624211047,3.120483462772114,4.438449211247237
54.742327850938636,19.14512811197098,6.2442139456584895,18.320682779208962,2.867695179126359,4.413033881961507
54.816081404942885,19.716923896928172,6.373532193841731,18.26672480605904,2.8188402689591854,4.546331934029851
54.68760800250277,19.86653288231744,6.005552628199233,18.129259703031956,2.856227459404208,4.480401993637789
54.5172630504551,19.436102292955145,5.88392204528199,18.05237226339826,2.88452471176754,4.476409476407386
54.27112217913471,20.040315412682602,6.246960770999016,17.893866390644334,2.8750935681136864,4.624441550053579
53.861020155163395,19.76741344313033,6.022623499541583,17.77626460206102,3.277400581451764,4.318991819860632
